 , Add to Front, Add to Mid, Add to End, Remove from Front, Remove from Middle, Remove from End, Search Worst-Case
2,4.999965312890708e-07,2.090018824674189e-07,2.9200600693002343e-07,2.500019036233425e-07,1.6600097296759486e-07,2.079978003166616e-07,3.3299875212833285e-07
4,4.160028765909374e-07,1.66997779160738e-07,1.6600097296759486e-07,2.079978003166616e-07,1.2500095181167126e-07,1.2500095181167126e-07,2.4999462766572833e-07
8,2.0899460650980473e-07,1.2500095181167126e-07,8.299684850499034e-08,8.300412446260452e-08,8.300412446260452e-08,4.200410330668092e-08,2.090018824674189e-07
16,1.2500095181167126e-07,8.300412446260452e-08,8.299684850499034e-08,8.299684850499034e-08,8.299684850499034e-08,4.1000021155923605e-08,2.500019036233425e-07
32,1.66997779160738e-07,8.299684850499034e-08,4.1000021155923605e-08,1.2500095181167126e-07,8.300412446260452e-08,4.1000021155923605e-08,3.3299875212833285e-07
64,2.9199873097240925e-07,1.2500095181167126e-07,8.299684850499034e-08,8.299684850499034e-08,1.2500095181167126e-07,4.1000021155923605e-08,5.830006557516754e-07
128,2.9199873097240925e-07,1.2500095181167126e-07,4.1000021155923605e-08,8.300412446260452e-08,8.300412446260452e-08,1.2500095181167126e-07,1.124994014389813e-06
256,2.500019036233425e-07,2.090018824674189e-07,4.1996827349066734e-08,1.2499367585405707e-07,8.299684850499034e-08,4.1996827349066734e-08,2.2079984773881733e-06
512,3.3299875212833285e-07,1.6700505511835217e-07,8.400093065574765e-08,1.66997779160738e-07,1.2500095181167126e-07,4.1996827349066734e-08,4.375004209578037e-06
1024,6.249974831007421e-07,4.160028765909374e-07,8.300412446260452e-08,2.079978003166616e-07,2.0800507627427578e-07,8.300412446260452e-08,8.583003364037722e-06
2048,1.4170000213198364e-06,6.67001586407423e-07,4.1996827349066734e-08,3.749955794773996e-07,2.9199873097240925e-07,4.1996827349066734e-08,1.7041995306499302e-05
4096,3.6670026020146906e-06,1.2499949662014842e-06,4.1996827349066734e-08,6.669943104498088e-07,5.00003807246685e-07,4.200410330668092e-08,3.404200106160715e-05
8192,6.333000783342868e-06,2.4999972083605826e-06,8.400093065574765e-08,1.2500022421590984e-06,6.67001586407423e-07,8.400093065574765e-08,6.754200148861855e-05
16384,1.0833995474968106e-05,6.166999810375273e-06,4.200410330668092e-08,2.5839981390163302e-06,1.2919990695081651e-06,8.299684850499034e-08,0.00013520799984689802
32768,2.2167005226947367e-05,9.70800465438515e-06,4.200410330668092e-08,6.667003617621958e-06,2.7089990908280015e-06,4.1996827349066734e-08,0.0002707499952521175
65536,3.8209000194910914e-05,2.075000520562753e-05,4.1996827349066734e-08,1.2083997717127204e-05,6.1250029830262065e-06,4.200410330668092e-08,0.0004950830043526366
131072,7.60000039008446e-05,3.566699888324365e-05,8.300412446260452e-08,2.4125001800712198e-05,1.2208998668938875e-05,4.1996827349066734e-08,0.0010393330012448132
262144,0.0005560830031754449,6.508400110760704e-05,4.1996827349066734e-08,4.70000013592653e-05,2.6416993932798505e-05,8.299684850499034e-08,0.001858791998529341
524288,0.0003406250034458935,0.00011916699440917,8.299684850499034e-08,7.983300019986928e-05,4.01659999624826e-05,1.2500095181167126e-07,0.0034366659965598956
1048576,0.00124741699983133,0.00025358299899380654,8.299684850499034e-08,0.00016287499602185562,8.087500464171171e-05,8.399365469813347e-08,0.007717458996921778
2097152,0.0028499170002760366,0.0005059169998276047,8.399365469813347e-08,0.0004060830033267848,0.00017266600480070338,8.300412446260452e-08,0.014286749996244907
4194304,0.0053979169970261864,0.00141937500302447,1.2500095181167126e-07,0.006623082997975871,0.00033312499726889655,1.66997779160738e-07,0.030848875001538545
8388608,0.011042416001146194,0.004258916997059714,6.660047802142799e-07,0.003961375005019363,0.0007159579981816933,7.920025382190943e-07,0.059596459002932534
